question,features,discernatron_reliable,classifier,accuracy
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",TRUE,nb,0.4129
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",TRUE,nb,0.5315
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,nb,0.4129
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",TRUE,nb,0.3874
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",TRUE,nb,0.5586
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",TRUE,nb,0.5751
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",TRUE,nb,0.5601
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",TRUE,nb,0.5616
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,nb,0.5751
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,nb,0.5751
"If someone searched for '...', would they want to read this article?",survey-only,FALSE,nb,0.6697
"If someone searched for '...', would they want to read this article?",survey & page info,FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?",survey & traffic,FALSE,nb,0.6517
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",FALSE,nb,0.4155
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",FALSE,nb,0.3408
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,nb,0.3423
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,nb,0.3423
"If you searched for '...', would this article be a good result?",survey-only,FALSE,nb,0.6216
"If you searched for '...', would this article be a good result?",survey & page info,FALSE,nb,0.3183
"If you searched for '...', would this article be a good result?",survey & traffic,FALSE,nb,0.6456
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",FALSE,nb,0.3183
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",FALSE,nb,0.3243
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",FALSE,nb,0.3183
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,nb,0.3228
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",FALSE,nb,0.5571
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",FALSE,nb,0.3198
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,nb,0.3168
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,nb,0.3243
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,nb,0.3243
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,nb,0.3168
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,nb,0.3168
"If you searched for '...', would this article be relevant?",survey-only,FALSE,nb,0.6837
"If you searched for '...', would this article be relevant?",survey & page info,FALSE,nb,0.3493
"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,nb,0.6852
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,nb,0.3493
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,nb,0.3493
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,nb,0.3493
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,nb,0.3493
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,nb,0.4903
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,nb,0.3538
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,nb,0.3493
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,nb,0.3523
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,nb,0.3523
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,nb,0.3493
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,nb,0.3493
Would you click on this page when searching for '...'?,survey-only,FALSE,nb,0.6592
Would you click on this page when searching for '...'?,survey & page info,FALSE,nb,0.3649
Would you click on this page when searching for '...'?,survey & traffic,FALSE,nb,0.6847
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,nb,0.3649
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,nb,0.3649
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,nb,0.3649
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,nb,0.3649
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,nb,0.4655
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,nb,0.3679
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,nb,0.3649
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,nb,0.3679
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,nb,0.3724
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,nb,0.3649
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,nb,0.3649
"If someone searched for '...', would they want to read this article?",survey-only,TRUE,multinom,0.6667
"If someone searched for '...', would they want to read this article?",survey & page info,TRUE,multinom,0.6652
"If someone searched for '...', would they want to read this article?",survey & traffic,TRUE,multinom,0.6861
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",TRUE,multinom,0.6816
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",TRUE,multinom,0.6831
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",TRUE,multinom,0.6921
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,multinom,0.6801
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",TRUE,multinom,0.6801
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",TRUE,multinom,0.6637
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,multinom,0.7025
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,multinom,0.6637
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,multinom,0.6622
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,multinom,0.7025
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,multinom,0.701
"If you searched for '...', would this article be a good result?",survey-only,TRUE,multinom,0.6381
"If you searched for '...', would this article be a good result?",survey & page info,TRUE,multinom,0.6502
"If you searched for '...', would this article be a good result?",survey & traffic,TRUE,multinom,0.6532
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",TRUE,multinom,0.6547
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",TRUE,multinom,0.6486
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",TRUE,multinom,0.6712
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,multinom,0.6622
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",TRUE,multinom,0.6757
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",TRUE,multinom,0.6351
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,multinom,0.6727
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,multinom,0.6351
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,multinom,0.6366
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,multinom,0.6727
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,multinom,0.6727
"If you searched for '...', would this article be relevant?",survey-only,TRUE,multinom,0.6477
"If you searched for '...', would this article be relevant?",survey & page info,TRUE,multinom,0.6447
"If you searched for '...', would this article be relevant?",survey & traffic,TRUE,multinom,0.6552
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",TRUE,multinom,0.6582
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",TRUE,multinom,0.6582
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",TRUE,multinom,0.6672
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,multinom,0.6672
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",TRUE,multinom,0.6762
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",TRUE,multinom,0.6417
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,multinom,0.6507
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,multinom,0.6417
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,multinom,0.6432
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,multinom,0.6507
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,multinom,0.6507
Would you click on this page when searching for '...'?,survey-only,TRUE,multinom,0.5991
Would you click on this page when searching for '...'?,survey & page info,TRUE,multinom,0.6051
Would you click on this page when searching for '...'?,survey & traffic,TRUE,multinom,0.6201
Would you click on this page when searching for '...'?,"survey, page info, and traffic",TRUE,multinom,0.6156
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",TRUE,multinom,0.6111
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",TRUE,multinom,0.6381
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,multinom,0.6126
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",TRUE,multinom,0.6306
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",TRUE,multinom,0.5976
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",TRUE,multinom,0.6156
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",TRUE,multinom,0.5976
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",TRUE,multinom,0.5976
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,multinom,0.6156
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,multinom,0.6156
"If someone searched for '...', would they want to read this article?",survey-only,FALSE,multinom,0.6637
"If someone searched for '...', would they want to read this article?",survey & page info,FALSE,multinom,0.6637
"If someone searched for '...', would they want to read this article?",survey & traffic,FALSE,multinom,0.701
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",FALSE,multinom,0.6801
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",FALSE,multinom,0.6697
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",FALSE,multinom,0.6741
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,multinom,0.6622
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",FALSE,multinom,0.6756
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",FALSE,multinom,0.6667
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,multinom,0.6906
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,multinom,0.6667
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,multinom,0.6667
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,multinom,0.6906
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,multinom,0.6906
"If you searched for '...', would this article be a good result?",survey-only,FALSE,multinom,0.6231
"If you searched for '...', would this article be a good result?",survey & page info,FALSE,multinom,0.6351
"If you searched for '...', would this article be a good result?",survey & traffic,FALSE,multinom,0.6652
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",FALSE,multinom,0.6697
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",FALSE,multinom,0.6441
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",FALSE,multinom,0.6532
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,multinom,0.6441
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",FALSE,multinom,0.6441
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",FALSE,multinom,0.6471
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,multinom,0.6742
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,multinom,0.6471
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,multinom,0.6486
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,multinom,0.6742
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,multinom,0.6742
"If you searched for '...', would this article be relevant?",survey-only,FALSE,multinom,0.6522
"If you searched for '...', would this article be relevant?",survey & page info,FALSE,multinom,0.6567
"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,multinom,0.6897
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,multinom,0.7151
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,multinom,0.7151
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,multinom,0.6792
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,multinom,0.6792
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,multinom,0.6777
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,multinom,0.6492
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,multinom,0.7016
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,multinom,0.6492
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,multinom,0.6522
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,multinom,0.7016
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,multinom,0.7016
Would you click on this page when searching for '...'?,survey-only,FALSE,multinom,0.6246
Would you click on this page when searching for '...'?,survey & page info,FALSE,multinom,0.6291
Would you click on this page when searching for '...'?,survey & traffic,FALSE,multinom,0.6306
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,multinom,0.6246
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,multinom,0.6171
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,multinom,0.6502
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,multinom,0.6156
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,multinom,0.6231
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,multinom,0.6201
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,multinom,0.6351
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,multinom,0.6216
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,multinom,0.6291
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,multinom,0.6336
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,multinom,0.6381
"If someone searched for '...', would they want to read this article?",survey-only,TRUE,rf,0.6637
"If someone searched for '...', would they want to read this article?",survey & page info,TRUE,rf,0.6906
"If someone searched for '...', would they want to read this article?",survey & traffic,TRUE,rf,0.6592
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",TRUE,rf,0.6861
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",TRUE,rf,0.6801
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",TRUE,rf,0.6891
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,rf,0.6771
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",TRUE,rf,0.6741
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",TRUE,rf,0.71
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,rf,0.719
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,rf,0.704
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,rf,0.704
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,rf,0.6981
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,rf,0.71
"If you searched for '...', would this article be a good result?",survey-only,TRUE,rf,0.6411
"If you searched for '...', would this article be a good result?",survey & page info,TRUE,rf,0.6847
"If you searched for '...', would this article be a good result?",survey & traffic,TRUE,rf,0.6456
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",TRUE,rf,0.6802
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",TRUE,rf,0.6592
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",TRUE,rf,0.6757
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,rf,0.6667
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",TRUE,rf,0.6592
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",TRUE,rf,0.6877
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,rf,0.6922
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,rf,0.6937
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,rf,0.6892
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,rf,0.6967
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,rf,0.6967
"If you searched for '...', would this article be relevant?",survey-only,TRUE,rf,0.6162
"If you searched for '...', would this article be relevant?",survey & page info,TRUE,rf,0.6747
"If you searched for '...', would this article be relevant?",survey & traffic,TRUE,rf,0.6747
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",TRUE,rf,0.6567
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",TRUE,rf,0.6642
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",TRUE,rf,0.6642
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,rf,0.6717
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",TRUE,rf,0.6837
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",TRUE,rf,0.6732
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,rf,0.6717
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,rf,0.6597
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,rf,0.6717
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,rf,0.6642
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,rf,0.6657
Would you click on this page when searching for '...'?,survey-only,TRUE,rf,0.5931
Would you click on this page when searching for '...'?,survey & page info,TRUE,rf,0.6201
Would you click on this page when searching for '...'?,survey & traffic,TRUE,rf,0.6216
Would you click on this page when searching for '...'?,"survey, page info, and traffic",TRUE,rf,0.6201
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",TRUE,rf,0.5961
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",TRUE,rf,0.6126
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,rf,0.5916
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",TRUE,rf,0.6066
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",TRUE,rf,0.6502
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",TRUE,rf,0.6471
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",TRUE,rf,0.6592
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",TRUE,rf,0.6577
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,rf,0.6471
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,rf,0.6502
"If someone searched for '...', would they want to read this article?",survey-only,FALSE,rf,0.6442
"If someone searched for '...', would they want to read this article?",survey & page info,FALSE,rf,0.6741
"If someone searched for '...', would they want to read this article?",survey & traffic,FALSE,rf,0.6786
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",FALSE,rf,0.6816
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",FALSE,rf,0.6786
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",FALSE,rf,0.6697
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,rf,0.6712
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",FALSE,rf,0.6592
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",FALSE,rf,0.6906
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,rf,0.6981
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,rf,0.6921
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,rf,0.6906
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,rf,0.6801
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,rf,0.6846
"If you searched for '...', would this article be a good result?",survey-only,FALSE,rf,0.6111
"If you searched for '...', would this article be a good result?",survey & page info,FALSE,rf,0.6306
"If you searched for '...', would this article be a good result?",survey & traffic,FALSE,rf,0.6351
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",FALSE,rf,0.6411
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",FALSE,rf,0.6396
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",FALSE,rf,0.6562
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,rf,0.6231
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",FALSE,rf,0.6532
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",FALSE,rf,0.6471
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,rf,0.6456
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,rf,0.6411
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,rf,0.6441
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,rf,0.6456
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,rf,0.6607
"If you searched for '...', would this article be relevant?",survey-only,FALSE,rf,0.6012
"If you searched for '...', would this article be relevant?",survey & page info,FALSE,rf,0.6507
"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,rf,0.6297
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,rf,0.6582
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,rf,0.6657
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,rf,0.6672
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,rf,0.6747
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,rf,0.6537
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,rf,0.6732
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,rf,0.6552
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,rf,0.6657
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,rf,0.6687
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,rf,0.6687
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,rf,0.6747
Would you click on this page when searching for '...'?,survey-only,FALSE,rf,0.6036
Would you click on this page when searching for '...'?,survey & page info,FALSE,rf,0.6471
Would you click on this page when searching for '...'?,survey & traffic,FALSE,rf,0.6517
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,rf,0.6441
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,rf,0.6156
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,rf,0.6291
