question,features,discernatron_reliable,classifier,accuracy
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",TRUE,xgbTree,0.6411
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,xgbTree,0.6502
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,xgbTree,0.6486
"If someone searched for '...', would they want to read this article?",survey-only,FALSE,xgbTree,0.6667
"If someone searched for '...', would they want to read this article?",survey & page info,FALSE,xgbTree,0.6712
"If someone searched for '...', would they want to read this article?",survey & traffic,FALSE,xgbTree,0.6577
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",FALSE,xgbTree,0.6726
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",FALSE,xgbTree,0.6816
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",FALSE,xgbTree,0.6547
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,xgbTree,0.6637
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",FALSE,xgbTree,0.6667
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",FALSE,xgbTree,0.6547
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,xgbTree,0.6532
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,xgbTree,0.6532
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,xgbTree,0.6577
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,xgbTree,0.6532
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,xgbTree,0.6547
"If you searched for '...', would this article be a good result?",survey-only,FALSE,xgbTree,0.6261
"If you searched for '...', would this article be a good result?",survey & page info,FALSE,xgbTree,0.6351
"If you searched for '...', would this article be a good result?",survey & traffic,FALSE,xgbTree,0.6351
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",FALSE,xgbTree,0.6456
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",FALSE,xgbTree,0.6246
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",FALSE,xgbTree,0.6381
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,xgbTree,0.6351
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",FALSE,xgbTree,0.6426
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",FALSE,xgbTree,0.6396
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,xgbTree,0.6261
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,xgbTree,0.6471
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,xgbTree,0.6411
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,xgbTree,0.6261
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,xgbTree,0.6441
"If you searched for '...', would this article be relevant?",survey-only,FALSE,xgbTree,0.6387
"If you searched for '...', would this article be relevant?",survey & page info,FALSE,xgbTree,0.6387
